Time (s),Manipulability,Joint Velocities
3.6199395656585693,1.3019446395636116,"[1.0559824431163578, 0.1491969762147559, 0.3886945533354788, 0.15894875690173557, -0.24600351340644688, 0.6223287356413165, -0.16233461122219986, 0.1889146009826004, -0.7469169856726864, -0.04063357076751541]"
3.6458706855773926,1.2876175527567573,"[1.0640802665490243, 0.14544081788694682, 0.3985475422414919, 0.1640210444472917, -0.24535735806112563, 0.6263066682471654, -0.16190751707581352, 0.20261169280246244, -0.7516905597708935, -0.058639021870547973]"
3.684170722961426,1.272865066682148,"[1.072494384192576, 0.14174544374532735, 0.4088538744692141, 0.169380760771674, -0.24475827504506123, 0.6304587324415084, -0.16151084766486984, 0.2161256401703786, -0.756674558267713, -0.07696594533324068]"
3.713245391845703,1.2577149396344602,"[1.0812329217729013, 0.13811393079587256, 0.4196267597246555, 0.1750426378884953, -0.2442067009670351, 0.6347905477268807, -0.16114504852860975, 0.22945820008586107, -0.7618760438475454, -0.09566955778559343]"
3.7393834590911865,1.2421960485493482,"[1.0903041757231011, 0.13454979514072582, 0.43088072738435584, 0.18102262838762773, -0.24370276268360888, 0.6393081990581216, -0.160811066476561, 0.24260851964374433, -0.7673022627432754, -0.11480724263088166]"
3.7788286209106445,1.2263384247664775,"[1.0997172127534771, 0.131056348765311, 0.4426313108439949, 0.18733762060260697, -0.24324618079748134, 0.6440179089598005, -0.1605081816833696, 0.25557247938378164, -0.7729606658945833, -0.13444067047781832]"
3.824681282043457,1.2101733345014734,"[1.109481641867324, 0.1276374204466281, 0.4548959973159467, 0.1940064510815975, -0.24283704195582972, 0.6489264509928054, -0.16023660578238677, 0.26834345301011975, -0.7788593606515731, -0.15463520535040104]"
3.8615617752075195,1.193733299998708,"[1.1196076941403208, 0.12429719766640962, 0.4676938691622336, 0.20104957407006852, -0.24247532513302775, 0.6540410491360583, -0.15999652444263487, 0.28091143714269046, -0.7850068308248221, -0.17546076869338867]"
3.89969539642334,1.1770521381442907,"[1.1301061375102384, 0.12104020214738231, 0.48104570480031544, 0.2084891947944631, -0.24216085088849248, 0.6593694407572045, -0.15978806908091817, 0.2932626350542777, -0.7914120150630658, -0.19699253613790826]"
3.932481050491333,1.1601649936326812,"[1.1409883840383226, 0.11787135650018286, 0.49497405363979824, 0.21634937977602212, -0.24189323714250272, 0.6649198842540873, -0.159611278260447, 0.30537894517489395, -0.7980842485302932, -0.21931172806924068]"
3.971057891845703,1.1431083675408824,"[1.1522665638612568, 0.11479602306321184, 0.509503340255029, 0.22465619636594036, -0.24167185577330108, 0.670701185590457, -0.15946605382279774, 0.31723736378736456, -0.8050332412062293, -0.24250651645262586]"
